review_id,product_id,product_name,category,customer_id,rating,review_text,topic,review_date
r_0000170,p_56190,Wool Scarf,Fashion,cust_00005,4,"For the price, This wool scarf — Great price compared to other stores. Pretty satisfied.",price,2025-03-10
r_0000094,p_08249,Sunscreen,Beauty,cust_00002,1,"After a week, The packaging was damaged and the item was dented. Exactly what I expected.",packaging,2025-02-24
r_0000033,p_52393,Turkish Grammar,Books,cust_00040,4,"So far, This turkish grammar — Returning was smooth and hassle-free. Five stars from me.",return,2024-04-04
r_0000109,p_40577,Vacuum Cleaner,Home & Kitchen,cust_00029,2,"Not gonna lie, This vacuum cleaner — Customer service never replied to my emails.",customer_service,2024-05-06
r_0000148,p_12156,Hair Dryer,Beauty,cust_00043,5,Just received it — Support resolved my issue right away. Do better.,customer_service,2024-12-12
r_0000194,p_70738,Leather Wallet,Fashion,cust_00004,2,"So far, This leather wallet — Poor quality, it broke after two days. Recommended.",product_quality,2024-10-22
r_0000161,p_40577,Vacuum Cleaner,Home & Kitchen,cust_00035,4,"Honestly, This vacuum cleaner — Came in neat, secure packaging.",packaging,2024-06-02
r_0000093,p_06887,Kids Story,Books,cust_00035,5,"Overall, Support resolved my issue right away. Five stars from me.",customer_service,2024-12-06
r_0000160,p_04220,Air Fryer,Home & Kitchen,cust_00044,5,"Overall, The air fryer is fine. Great price compared to other stores. Not sure I'd repurchase.",price,2025-04-28
r_0000019,p_48072,USB-C Hub,Electronics,cust_00036,2,"After a week, Bought the usb-c hub. The delivery was delayed and no updates were given. Mixed feelings overall.",shipping,2025-08-07
r_0000026,p_18490,Face Serum,Beauty,cust_00010,2,"Return was a nightmare, still waiting for a refund. Exactly what I expected.",return,2025-06-27
r_0000147,p_08464,Running Shoes,Fashion,cust_00028,4,"So far, The running shoes is fine. Amazing value for money, worth every penny. Not sure I'd repurchase.",price,2025-03-24
r_0000002,p_08249,Sunscreen,Beauty,cust_00009,1,The delivery was delayed and no updates were given. Not sure I'd repurchase.,shipping,2024-10-11
r_0000174,p_08464,Running Shoes,Fashion,cust_00038,5,"Just received it — Shipping was super fast, arrived a day early. Pretty satisfied.",shipping,2024-02-03
r_0000078,p_48072,USB-C Hub,Electronics,cust_00011,4,"After a week, The usb-c hub is fine. Easy return process, refund came fast. Do better.",return,2024-09-02
r_0000003,p_26506,Knife Set,Home & Kitchen,cust_00002,5,"Honestly, This knife set — Works perfectly, exactly as described. Very happy. Pretty satisfied.",product_quality,2024-09-27
r_0000177,p_20788,Cookbook,Books,cust_00028,4,"For the price, The cookbook is fine. Delivery was quick and well tracked. Recommended.",shipping,2024-03-16
r_0000167,p_60892,Lipstick,Beauty,cust_00002,4,"For the price, Bought the lipstick. Returning was smooth and hassle-free. Not sure I'd repurchase.",return,2025-04-13
r_0000199,p_08464,Running Shoes,Fashion,cust_00038,2,"Not gonna lie, This running shoes — Overpriced for what you get. Exactly what I expected.",price,2024-01-28
r_0000079,p_18490,Face Serum,Beauty,cust_00014,5,"For the price, Delivery was quick and well tracked. Exactly what I expected.",shipping,2024-02-03
r_0000150,p_06887,Kids Story,Books,cust_00008,2,"Overall, This kids story — Shipping took forever, arrived two weeks late. Pretty satisfied.",shipping,2025-02-05
r_0000138,p_38778,Bluetooth Speaker,Electronics,cust_00020,1,"Not gonna lie, The bluetooth speaker is fine. Support was rude and unhelpful. Do better.",customer_service,2024-01-22
r_mismatch_614792641,p_84321,Data Engineering Handbook,Books,cust_00009,5,"Terrible product, broke immediately and support ignored me.",shipping,2025-04-14
r_0000009,p_52393,Turkish Grammar,Books,cust_00008,5,"Not gonna lie, Delivery was quick and well tracked. Exactly what I expected.",shipping,2024-08-12
r_0000193,p_70738,Leather Wallet,Fashion,cust_00048,5,"Not gonna lie, This leather wallet — Customer service was helpful and quick to respond. Not sure I'd repurchase.",customer_service,2025-01-09
r_0000066,p_52393,Turkish Grammar,Books,cust_00031,1,"After a week, Feels cheap and stopped working quickly. Five stars from me.",product_quality,2024-01-30
r_0000137,p_60943,Water Bottle,Home & Kitchen,cust_00029,5,"Honestly, The water bottle is fine. Support resolved my issue right away. Lesson learned.",customer_service,2024-01-20
